Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2024-10017,2023-08-13,2023-08-14,CUST-1018,Customer 19,Corporate,North,Office Supplies,Paper,Office Supplies - Paper Model 515,1693.76,7,0.2,108.0
CA-2024-10018,2023-10-21,2023-10-26,CUST-1115,Customer 116,Home Office,South,Office Supplies,Labels,Office Supplies - Labels Model 300,869.95,6,0.15,144.27
CA-2024-10019,2024-02-07,2024-02-09,CUST-1066,Customer 67,Home Office,West,Office Supplies,Binders,Office Supplies - Binders Model 588,1470.44,7,0.4,-156.23
CA-2024-10020,2024-04-17,2024-04-19,CUST-1022,Customer 23,Corporate,South,Furniture,Furnishings,Furniture - Furnishings Model 243,370.22,1,0.1,54.08
CA-2024-10021,2023-10-31,2023-11-04,CUST-1068,Customer 69,Home Office,East,Furniture,Bookcases,Furniture - Bookcases Model 198,744.81,3,0.3,0.34
CA-2024-10022,2024-11-03,2024-11-07,CUST-1074,Customer 75,Home Office,West,Technology,Machines,Technology - Machines Model 353,70.06,6,0.4,-1.59
CA-2024-10023,2023-12-04,2023-12-06,CUST-1053,Customer 54,Consumer,North,Furniture,Bookcases,Furniture - Bookcases Model 679,650.33,5,0.0,153.9
CA-2024-10024,2024-01-27,2024-01-30,CUST-1016,Customer 17,Consumer,West,Furniture,Tables,Furniture - Tables Model 569,775.57,6,0.1,168.99
CA-2024-10025,2024-07-16,2024-07-19,CUST-1026,Customer 27,Corporate,South,Office Supplies,Labels,Office Supplies - Labels Model 552,341.93,3,0.1,67.31
CA-2024-10026,2024-05-26,2024-05-27,CUST-1043,Customer 44,Home Office,North,Furniture,Chairs,Furniture - Chairs Model 198,1321.75,5,0.3,3.73
CA-2024-10027,2023-06-30,2023-07-03,CUST-1059,Customer 60,Home Office,East,Office Supplies,Labels,Office Supplies - Labels Model 355,450.65,2,0.1,96.27
CA-2024-10028,2024-07-23,2024-07-26,CUST-1103,Customer 104,Consumer,South,Office Supplies,Paper,Office Supplies - Paper Model 762,248.82,3,0.0,57.79
CA-2024-10029,2023-04-14,2023-04-15,CUST-1008,Customer 9,Corporate,West,Office Supplies,Storage,Office Supplies - Storage Model 858,306.03,2,0.3,15.71
CA-2024-10030,2024-05-20,2024-05-21,CUST-1035,Customer 36,Corporate,North,Furniture,Chairs,Furniture - Chairs Model 499,118.87,3,0.0,28.24
CA-2024-10031,2024-12-27,2024-12-30,CUST-1024,Customer 25,Consumer,South,Furniture,Chairs,Furniture - Chairs Model 669,119.17,4,0.0,27.45
CA-2024-10032,2024-03-19,2024-03-24,CUST-1096,Customer 97,Home Office,West,Furniture,Bookcases,Furniture - Bookcases Model 202,281.97,5,0.0,67.99
CA-2024-10033,2024-10-17,2024-10-22,CUST-1113,Customer 114,Corporate,South,Furniture,Furnishings,Furniture - Furnishings Model 930,450.52,2,0.0,91.25
CA-2024-10034,2023-04-27,2023-04-28,CUST-1011,Customer 12,Consumer,South,Technology,Copiers,Technology - Copiers Model 901,669.61,6,0.15,97.78
CA-2024-10035,2023-09-29,2023-10-04,CUST-1102,Customer 103,Corporate,North,Office Supplies,Art,Office Supplies - Art Model 175,694.87,3,0.2,28.79
CA-2024-10036,2023-08-08,2023-08-13,CUST-1046,Customer 47,Consumer,South,Technology,Phones,Technology - Phones Model 303,41.98,2,0.1,7.03
CA-2024-10037,2023-10-16,2023-10-21,CUST-1022,Customer 23,Consumer,South,Office Supplies,Storage,Office Supplies - Storage Model 279,236.02,2,0.4,-16.5
CA-2024-10038,2023-11-21,2023-11-26,CUST-1003,Customer 4,Corporate,West,Office Supplies,Labels,Office Supplies - Labels Model 995,1165.16,4,0.1,185.05
CA-2024-10039,2024-01-15,2024-01-16,CUST-1032,Customer 33,Home Office,East,Technology,Copiers,Technology - Copiers Model 676,962.35,2,0.0,218.83
CA-2024-10040,2023-01-12,2023-01-14,CUST-1114,Customer 115,Corporate,East,Furniture,Furnishings,Furniture - Furnishings Model 704,849.53,2,0.0,192.05
CA-2024-10041,2023-07-15,2023-07-17,CUST-1116,Customer 117,Consumer,East,Technology,Machines,Technology - Machines Model 828,364.22,1,0.1,59.13
CA-2024-10042,2023-07-11,2023-07-14,CUST-1048,Customer 49,Corporate,West,Office Supplies,Paper,Office Supplies - Paper Model 835,366.63,1,0.15,56.46
CA-2024-10043,2023-09-30,2023-10-01,CUST-1061,Customer 62,Consumer,North,Office Supplies,Art,Office Supplies - Art Model 118,489.03,4,0.4,
CA-2024-10044,2023-09-22,2023-09-26,CUST-1077,Customer 78,Corporate,West,Office Supplies,Appliances,Office Supplies - Appliances Model 168,141.49,1,0.1,19.99
CA-2024-10045,2024-07-18,2024-07-19,CUST-1038,Customer 39,Consumer,South,Technology,Accessories,Technology - Accessories Model 322,88.4,3,0.3,-0.43
CA-2024-10046,2024-10-19,2024-10-23,CUST-1008,Customer 9,Corporate,West,Technology,Accessories,Technology - Accessories Model 618,443.31,2,0.0,128.2
CA-2024-10047,2023-07-13,2023-07-18,CUST-1028,Customer 29,Consumer,East,Office Supplies,Appliances,Office Supplies - Appliances Model 932,265.18,1,0.4,-5.67
CA-2024-10048,2023-05-12,2023-05-16,CUST-1069,Customer 70,Corporate,East,Office Supplies,Paper,Office Supplies - Paper Model 266,441.5,2,0.0,107.48
CA-2024-10049,2023-06-22,2023-06-27,CUST-1113,Customer 114,Consumer,South,Office Supplies,Appliances,Office Supplies - Appliances Model 994,280.39,1,0.15,29.09
CA-2024-10050,2024-05-19,2024-05-23,CUST-1112,Customer 113,Consumer,North,Furniture,Chairs,Furniture - Chairs Model 157,104.47,5,0.0,30.2
CA-2024-10051,2023-08-01,2023-08-04,CUST-1100,Customer 101,Consumer,East,Technology,Accessories,Technology - Accessories Model 146,1921.55,6,0.0,575.66
CA-2024-10052,2024-07-19,2024-07-22,CUST-1015,Customer 16,Corporate,East,Furniture,Furnishings,Furniture - Furnishings Model 883,1787.11,4,0.0,417.41
CA-2024-10053,2023-05-02,2023-05-06,CUST-1035,Customer 36,Consumer,South,Furniture,Furnishings,Furniture - Furnishings Model 831,379.53,4,0.5,-49.41
CA-2024-10054,2023-05-25,2023-05-26,CUST-1032,Customer 33,Consumer,North,Office Supplies,Appliances,Office Supplies - Appliances Model 657,187.05,6,0.4,-8.87
CA-2024-10055,2024-03-25,2024-03-27,CUST-1055,Customer 56,Home Office,East,Furniture,Tables,Furniture - Tables Model 900,392.14,2,0.5,-72.53
CA-2024-10056,2023-10-09,2023-10-10,CUST-1085,Customer 86,Home Office,North,Technology,Accessories,Technology - Accessories Model 204,216.19,1,0.0,44.87
CA-2024-10057,2024-04-20,2024-04-21,CUST-1068,Customer 69,Home Office,South,Technology,Copiers,Technology - Copiers Model 664,946.42,2,0.0,212.1
CA-2024-10058,2024-04-01,2024-04-02,CUST-1050,Customer 51,Consumer,West,Furniture,Bookcases,Furniture - Bookcases Model 587,1259.17,4,0.0,254.63
CA-2024-10059,2023-09-07,2023-09-09,CUST-1053,Customer 54,Corporate,East,Office Supplies,Labels,Office Supplies - Labels Model 153,2034.76,6,0.3,0.71
CA-2024-10060,2024-09-15,2024-09-20,CUST-1084,Customer 85,Corporate,East,Furniture,Chairs,Furniture - Chairs Model 803,112.48,6,0.15,16.16
CA-2024-10061,2023-12-01,2023-12-04,CUST-1050,Customer 51,Home Office,West,Office Supplies,Labels,Office Supplies - Labels Model 434,1306.14,7,0.1,247.86
CA-2024-10062,2023-05-18,2023-05-19,CUST-1073,Customer 74,Corporate,West,Office Supplies,Storage,Office Supplies - Storage Model 873,1269.6,5,0.0,327.51
CA-2024-10063,2023-04-21,2023-04-22,CUST-1022,Customer 23,Consumer,East,Office Supplies,Binders,Office Supplies - Binders Model 459,246.96,1,0.3,1.83
CA-2024-10064,2023-04-03,2023-04-05,CUST-1060,Customer 61,Consumer,East,Technology,Accessories,Technology - Accessories Model 703,1101.57,6,0.0,233.6
CA-2024-10065,2023-08-21,2023-08-25,CUST-1089,Customer 90,Home Office,North,Office Supplies,Appliances,Office Supplies - Appliances Model 172,355.58,7,0.15,31.35
CA-2024-10066,2023-12-16,2023-12-19,CUST-1062,Customer 63,Consumer,North,Furniture,Bookcases,Furniture - Bookcases Model 107,944.76,5,0.5,-138.26
CA-2024-10067,2023-02-25,2023-02-27,CUST-1027,Customer 28,Consumer,West,Office Supplies,Storage,Office Supplies - Storage Model 625,220.97,3,0.15,37.46
CA-2024-10068,2023-12-29,2024-01-02,CUST-1108,Customer 109,Home Office,South,Office Supplies,Labels,Office Supplies - Labels Model 730,356.37,2,0.1,72.72
CA-2024-10069,2023-03-27,2023-03-29,CUST-1043,Customer 44,Consumer,North,Office Supplies,Binders,Office Supplies - Binders Model 493,1789.87,5,0.1,319.35
CA-2024-10070,2024-04-14,2024-04-16,CUST-1110,Customer 111,Corporate,North,Office Supplies,Storage,Office Supplies - Storage Model 524,607.45,4,0.15,83.27
CA-2024-10071,2023-11-11,2023-11-16,CUST-1069,Customer 70,Corporate,North,Furniture,Bookcases,Furniture - Bookcases Model 809,538.15,4,0.3,-16.8
CA-2024-10072,2023-12-16,2023-12-17,CUST-1118,Customer 119,Consumer,East,Office Supplies,Binders,Office Supplies - Binders Model 322,1079.65,4,0.4,-36.11
CA-2024-10073,2024-10-07,2024-10-08,CUST-1093,Customer 94,Consumer,East,Technology,Accessories,Technology - Accessories Model 946,548.99,2,0.0,152.04
CA-2024-10074,2023-11-22,2023-11-24,CUST-1117,Customer 118,Corporate,West,Office Supplies,Labels,Office Supplies - Labels Model 239,113.11,2,0.2,5.51
CA-2024-10075,2023-05-19,2023-05-23,CUST-1076,Customer 77,Corporate,North,Office Supplies,Storage,Office Supplies - Storage Model 360,182.95,4,0.0,49.11
CA-2024-10076,2024-08-18,2024-08-19,CUST-1062,Customer 63,Corporate,North,Furniture,Tables,Furniture - Tables Model 649,1288.46,6,0.0,367.3
CA-2024-10077,2023-08-24,2023-08-26,CUST-1077,Customer 78,Home Office,East,Technology,Machines,Technology - Machines Model 646,2785.97,6,0.0,774.92
CA-2024-10078,2023-08-17,2023-08-21,CUST-1029,Customer 30,Home Office,North,Technology,Copiers,Technology - Copiers Model 177,1074.75,4,0.0,278.18
CA-2024-10079,2024-02-06,2024-02-09,CUST-1037,Customer 38,Corporate,East,Office Supplies,Labels,Office Supplies - Labels Model 244,2843.15,7,0.1,360.12
CA-2024-10080,2023-04-14,2023-04-17,CUST-1038,Customer 39,Consumer,South,Office Supplies,Art,Office Supplies - Art Model 653,404.48,7,0.3,3.86
CA-2024-10081,2024-04-22,2024-04-25,CUST-1035,Customer 36,Home Office,North,Office Supplies,Appliances,Office Supplies - Appliances Model 510,2254.88,6,0.0,611.99
CA-2024-10082,2024-05-31,2024-06-03,CUST-1073,Customer 74,Consumer,South,Office Supplies,Binders,Office Supplies - Binders Model 976,430.26,7,0.2,23.66
CA-2024-10083,2023-02-16,2023-02-20,CUST-1075,Customer 76,Corporate,East,Office Supplies,Art,Office Supplies - Art Model 391,1087.04,3,0.0,237.15
CA-2024-10084,2024-07-03,2024-07-05,CUST-1045,Customer 46,Corporate,South,Office Supplies,Paper,Office Supplies - Paper Model 309,1853.75,7,0.15,258.22
CA-2024-10085,2023-12-22,2023-12-26,CUST-1004,Customer 5,Home Office,West,Office Supplies,Labels,Office Supplies - Labels Model 703,176.94,1,0.1,34.26
CA-2024-10086,2023-10-23,2023-10-24,CUST-1085,Customer 86,Home Office,North,Furniture,Bookcases,Furniture - Bookcases Model 445,2024.95,6,0.2,148.26
CA-2024-10087,2024-07-20,2024-07-23,CUST-1039,Customer 40,Corporate,East,Furniture,Bookcases,Furniture - Bookcases Model 301,1718.63,5,0.15,157.13
CA-2024-10088,2023-09-01,2023-09-02,CUST-1089,Customer 90,Home Office,South,Office Supplies,Art,Office Supplies - Art Model 517,1381.35,3,0.0,402.35
CA-2024-10089,2023-07-01,2023-07-02,CUST-1070,Customer 71,Consumer,North,Technology,Phones,Technology - Phones Model 384,1779.51,6,0.0,393.75
CA-2024-10090,2023-02-18,2023-02-19,CUST-1083,Customer 84,Consumer,West,Office Supplies,Binders,Office Supplies - Binders Model 162,498.48,1,0.0,115.15
CA-2024-10091,2023-08-03,2023-08-06,CUST-1055,Customer 56,Home Office,West,Office Supplies,Labels,Office Supplies - Labels Model 528,594.59,3,0.0,165.03
CA-2024-10092,2023-06-24,2023-06-26,CUST-1065,Customer 66,Corporate,North,Office Supplies,Paper,Office Supplies - Paper Model 930,324.73,5,0.0,89.41
CA-2024-10093,2024-04-02,2024-04-05,CUST-1109,Customer 110,Corporate,North,Furniture,Furnishings,Furniture - Furnishings Model 899,1630.11,5,0.1,285.55
CA-2024-10094,2024-03-18,2024-03-23,CUST-1071,Customer 72,Consumer,East,Office Supplies,Art,Office Supplies - Art Model 708,456.02,2,0.2,63.33
CA-2024-10095,2023-10-15,2023-10-18,CUST-1015,Customer 16,Consumer,North,Furniture,Chairs,Furniture - Chairs Model 834,344.27,2,0.0,71.8
CA-2024-10096,2023-05-31,2023-06-05,CUST-1018,Customer 19,Consumer,East,Office Supplies,Binders,Office Supplies - Binders Model 181,2665.28,7,0.15,302.74
CA-2024-10097,2024-01-21,2024-01-24,CUST-1086,Customer 87,Consumer,West,Office Supplies,Paper,Office Supplies - Paper Model 355,395.84,2,0.3,-7.14
CA-2024-10098,2024-05-20,2024-05-24,CUST-1023,Customer 24,Consumer,South,Office Supplies,Paper,Office Supplies - Paper Model 826,362.64,1,0.1,62.1
CA-2024-10099,2024-06-04,2024-06-06,CUST-1108,Customer 109,Consumer,North,Furniture,Tables,Furniture - Tables Model 593,689.41,2,0.3,20.08
CA-2024-10100,2023-03-16,2023-03-18,CUST-1084,Customer 85,Home Office,North,Furniture,Bookcases,Furniture - Bookcases Model 776,562.6,2,0.15,51.0
CA-2024-10101,2023-12-08,2023-12-13,CUST-1026,Customer 27,Home Office,South,Office Supplies,Storage,Office Supplies - Storage Model 367,1610.26,5,0.0,469.3
CA-2024-10102,2024-04-20,2024-04-22,CUST-1045,Customer 46,Consumer,West,Technology,Phones,Technology - Phones Model 918,176.44,3,0.0,42.16
CA-2024-10103,2023-10-23,2023-10-26,CUST-1035,Customer 36,Corporate,East,Office Supplies,Paper,Office Supplies - Paper Model 197,1244.25,6,0.0,309.04
CA-2024-10104,2024-07-01,2024-07-05,CUST-1082,Customer 83,Corporate,East,Technology,Copiers,Technology - Copiers Model 464,72.01,1,0.2,3.65
CA-2024-10105,2024-12-13,2024-12-14,CUST-1000,Customer 1,Consumer,East,Office Supplies,Labels,Office Supplies - Labels Model 138,82.92,2,0.2,9.08
CA-2024-10106,2024-04-22,2024-04-24,CUST-1011,Customer 12,Consumer,West,Technology,Phones,Technology - Phones Model 116,2997.95,7,0.1,385.75
CA-2024-10107,2024-08-14,2024-08-17,CUST-1007,Customer 8,Corporate,North,Office Supplies,Paper,Office Supplies - Paper Model 809,883.04,2,0.1,125.5
CA-2024-10108,2024-05-03,2024-05-08,CUST-1025,Customer 26,Consumer,South,Office Supplies,Labels,Office Supplies - Labels Model 893,580.91,2,0.0,123.18
CA-2024-10109,2024-06-02,2024-06-03,CUST-1114,Customer 115,Home Office,South,Office Supplies,Appliances,Office Supplies - Appliances Model 693,1204.34,4,0.2,86.6
CA-2024-10110,2024-05-04,2024-05-05,CUST-1013,Customer 14,Corporate,East,Office Supplies,Appliances,Office Supplies - Appliances Model 197,1332.67,3,0.0,363.12
CA-2024-10111,2023-12-30,2023-12-31,CUST-1003,Customer 4,Corporate,North,Office Supplies,Labels,Office Supplies - Labels Model 115,888.03,4,0.0,179.77
CA-2024-10112,2023-06-19,2023-06-21,CUST-1029,Customer 30,Consumer,North,Office Supplies,Art,Office Supplies - Art Model 990,1995.99,4,0.0,416.87
CA-2024-10113,2023-11-14,2023-11-19,CUST-1107,Customer 108,Corporate,West,Furniture,Bookcases,Furniture - Bookcases Model 365,374.69,7,0.1,72.6
CA-2024-10114,2024-11-19,2024-11-22,CUST-1044,Customer 45,Consumer,South,Technology,Accessories,Technology - Accessories Model 392,24.79,1,0.3,-0.88
CA-2024-10115,2024-02-03,2024-02-04,CUST-1087,Customer 88,Consumer,East,Technology,Phones,Technology - Phones Model 479,913.61,7,0.4,-66.93
CA-2024-10116,2023-08-14,2023-08-15,CUST-1070,Customer 71,Home Office,East,Office Supplies,Appliances,Office Supplies - Appliances Model 674,342.43,3,0.1,48.99
CA-2024-10117,2023-08-14,2023-08-15,CUST-1089,Customer 90,Consumer,South,Office Supplies,Paper,Office Supplies - Paper Model 616,301.38,7,0.0,75.9
CA-2024-10118,2023-01-20,2023-01-22,CUST-1112,Customer 113,Consumer,South,Office Supplies,Storage,Office Supplies - Storage Model 161,1195.73,3,0.2,74.67
CA-2024-10119,2023-04-30,2023-05-05,CUST-1110,Customer 111,Consumer,West,Office Supplies,Storage,Office Supplies - Storage Model 366,1321.71,3,0.0,327.34
CA-2024-10120,2023-07-14,2023-07-15,CUST-1097,Customer 98,Home Office,North,Office Supplies,Labels,Office Supplies - Labels Model 360,668.84,2,0.1,105.19
CA-2024-10121,2023-11-24,2023-11-27,CUST-1004,Customer 5,Consumer,South,Furniture,Furnishings,Furniture - Furnishings Model 787,865.95,5,0.5,-167.86
CA-2024-10122,2023-10-28,2023-11-02,CUST-1114,Customer 115,Home Office,West,Office Supplies,Art,Office Supplies - Art Model 848,778.99,3,0.3,-12.05
CA-2024-10123,2024-07-24,2024-07-27,CUST-1047,Customer 48,Corporate,East,Furniture,Bookcases,Furniture - Bookcases Model 269,159.19,3,0.2,8.89
CA-2024-10124,2024-07-10,2024-07-12,CUST-1114,Customer 115,Home Office,South,Furniture,Tables,Furniture - Tables Model 536,2629.21,7,0.0,672.07
CA-2024-10125,2024-08-11,2024-08-16,CUST-1011,Customer 12,Consumer,West,Furniture,Tables,Furniture - Tables Model 212,2005.67,7,0.0,402.95
CA-2024-10126,2023-12-31,2024-01-03,CUST-1111,Customer 112,Consumer,South,Furniture,Bookcases,Furniture - Bookcases Model 323,1436.36,4,0.15,248.78
CA-2024-10127,2023-10-05,2023-10-09,CUST-1019,Customer 20,Corporate,South,Technology,Machines,Technology - Machines Model 116,350.03,1,0.1,54.11
CA-2024-10128,2024-04-18,2024-04-21,CUST-1081,Customer 82,Home Office,West,Office Supplies,Binders,Office Supplies - Binders Model 775,1053.03,4,0.2,44.71
CA-2024-10129,2023-02-02,2023-02-05,CUST-1074,Customer 75,Corporate,South,Furniture,Chairs,Furniture - Chairs Model 384,1277.07,3,0.1,174.14
CA-2024-10130,2023-06-06,2023-06-09,CUST-1115,Customer 116,Home Office,East,Office Supplies,Paper,Office Supplies - Paper Model 558,88.52,1,0.4,-10.35
CA-2024-10131,2023-01-21,2023-01-26,CUST-1058,Customer 59,Home Office,East,Furniture,Tables,Furniture - Tables Model 606,725.99,4,0.15,112.23
CA-2024-10132,2023-06-12,2023-06-13,CUST-1024,Customer 25,Corporate,South,Technology,Machines,Technology - Machines Model 638,2907.44,6,0.0,607.99
CA-2024-10133,2024-06-03,2024-06-06,CUST-1045,Customer 46,Corporate,East,Office Supplies,Binders,Office Supplies - Binders Model 792,777.31,2,0.15,124.1
CA-2024-10134,2023-06-02,2023-06-03,CUST-1107,Customer 108,Consumer,North,Furniture,Bookcases,Furniture - Bookcases Model 930,1654.93,5,0.0,462.98
CA-2024-10135,2024-01-30,2024-02-04,CUST-1080,Customer 81,Consumer,South,Office Supplies,Storage,Office Supplies - Storage Model 465,2926.38,6,0.0,788.65
CA-2024-10136,2023-04-12,2023-04-13,CUST-1007,Customer 8,Corporate,East,Furniture,Bookcases,Furniture - Bookcases Model 687,3109.25,7,0.1,565.31
CA-2024-10137,2024-10-21,2024-10-22,CUST-1073,Customer 74,Corporate,South,Office Supplies,Storage,Office Supplies - Storage Model 324,288.08,5,0.0,81.37
CA-2024-10138,2024-10-27,2024-10-29,CUST-1037,Customer 38,Corporate,South,Office Supplies,Storage,Office Supplies - Storage Model 205,57.74,1,0.4,-6.21
CA-2024-10139,2024-09-26,2024-09-27,CUST-1005,Customer 6,Corporate,East,Office Supplies,Storage,Office Supplies - Storage Model 815,743.61,2,0.15,117.74
CA-2024-10140,2023-04-21,2023-04-24,CUST-1006,Customer 7,Corporate,West,Office Supplies,Storage,Office Supplies - Storage Model 121,703.12,3,0.0,152.16
CA-2024-10141,2023-01-14,2023-01-17,CUST-1081,Customer 82,Consumer,East,Office Supplies,Labels,Office Supplies - Labels Model 400,470.45,3,0.5,-78.24
CA-2024-10142,2024-09-22,2024-09-27,CUST-1054,Customer 55,Consumer,West,Office Supplies,Storage,Office Supplies - Storage Model 822,113.22,1,0.1,14.51
CA-2024-10143,2023-02-04,2023-02-09,CUST-1092,Customer 93,Consumer,East,Furniture,Furnishings,Furniture - Furnishings Model 916,2747.51,7,0.1,562.21
CA-2024-10144,2024-05-30,2024-06-03,CUST-1107,Customer 108,Corporate,West,Furniture,Bookcases,Furniture - Bookcases Model 707,510.35,2,0.15,65.67
CA-2024-10145,2024-07-31,2024-08-02,CUST-1035,Customer 36,Consumer,South,Technology,Accessories,Technology - Accessories Model 345,482.43,3,0.15,69.06
CA-2024-10146,2024-06-03,2024-06-07,CUST-1111,Customer 112,Corporate,South,Furniture,Chairs,Furniture - Chairs Model 101,513.87,5,0.0,125.24
CA-2024-10147,2024-05-16,2024-05-20,CUST-1110,Customer 111,Corporate,East,Office Supplies,Storage,Office Supplies - Storage Model 842,282.93,3,0.0,67.88
CA-2024-10148,2023-06-12,2023-06-17,CUST-1004,Customer 5,Consumer,West,Office Supplies,Binders,Office Supplies - Binders Model 400,909.71,7,0.0,188.63
CA-2024-10149,2023-09-27,2023-09-29,CUST-1092,Customer 93,Consumer,South,Furniture,Bookcases,Furniture - Bookcases Model 375,1020.42,4,0.15,98.68
CA-2024-10150,2023-10-11,2023-10-12,CUST-1106,Customer 107,Corporate,North,Office Supplies,Labels,Office Supplies - Labels Model 596,999.91,4,0.3,15.81
CA-2024-10151,2023-09-08,2023-09-13,CUST-1019,Customer 20,Consumer,South,Furniture,Bookcases,Furniture - Bookcases Model 119,40.07,1,0.0,9.83
CA-2024-10152,2023-02-28,2023-03-05,CUST-1032,Customer 33,Corporate,South,Office Supplies,Binders,Office Supplies - Binders Model 792,743.25,3,0.0,219.39
CA-2024-10153,2023-11-02,2023-11-07,CUST-1056,Customer 57,Corporate,West,Office Supplies,Storage,Office Supplies - Storage Model 527,1911.97,7,0.0,441.27
CA-2024-10154,2023-12-02,2023-12-04,CUST-1105,Customer 106,Corporate,West,Technology,Phones,Technology - Phones Model 875,381.11,6,0.3,-8.49
CA-2024-10155,2023-07-12,2023-07-14,CUST-1042,Customer 43,Corporate,South,Furniture,Chairs,Furniture - Chairs Model 747,434.34,1,0.0,127.3
CA-2024-10156,2023-01-01,2023-01-04,CUST-1030,Customer 31,Corporate,North,Office Supplies,Labels,Office Supplies - Labels Model 701,184.06,2,0.5,-35.92
CA-2024-10157,2024-08-07,2024-08-08,CUST-1040,Customer 41,Home Office,North,Office Supplies,Appliances,Office Supplies - Appliances Model 258,1268.7,4,0.15,198.58
CA-2024-10158,2024-10-05,2024-10-08,CUST-1069,Customer 70,Home Office,North,Office Supplies,Art,Office Supplies - Art Model 464,2222.91,6,0.1,268.03
CA-2024-10159,2024-10-16,2024-10-17,CUST-1075,Customer 76,Corporate,East,Office Supplies,Binders,Office Supplies - Binders Model 704,209.35,1,0.1,34.43
CA-2024-10160,2023-04-12,2023-04-14,CUST-1010,Customer 11,Corporate,South,Office Supplies,Storage,Office Supplies - Storage Model 876,239.04,2,0.4,-8.43
CA-2024-10161,2024-09-20,2024-09-25,CUST-1025,Customer 26,Consumer,North,Office Supplies,Appliances,Office Supplies - Appliances Model 399,590.87,3,0.2,71.67
CA-2024-10162,2024-05-12,2024-05-16,CUST-1042,Customer 43,Consumer,East,Office Supplies,Appliances,Office Supplies - Appliances Model 223,1338.43,4,0.3,-45.47
CA-2024-10163,2023-05-21,2023-05-24,CUST-1033,Customer 34,Consumer,West,Furniture,Furnishings,Furniture - Furnishings Model 593,1033.42,7,0.1,184.05
CA-2024-10164,2023-04-16,2023-04-20,CUST-1029,Customer 30,Corporate,North,Technology,Accessories,Technology - Accessories Model 444,1597.0,7,0.15,156.74
CA-2024-10165,2023-06-08,2023-06-09,CUST-1041,Customer 42,Consumer,West,Technology,Machines,Technology - Machines Model 985,405.91,1,0.0,102.55
CA-2024-10166,2024-07-12,2024-07-15,CUST-1012,Customer 13,Corporate,South,Office Supplies,Binders,Office Supplies - Binders Model 125,235.68,2,0.0,55.64
CA-2024-10167,2024-11-12,2024-11-13,CUST-1025,Customer 26,Consumer,West,Furniture,Tables,Furniture - Tables Model 711,352.82,2,0.2,41.16
CA-2024-10168,2024-03-14,2024-03-16,CUST-1068,Customer 69,Consumer,East,Technology,Phones,Technology - Phones Model 730,1647.89,6,0.0,435.37
